Time	R.Front.Head_X	R.Front.Head_Y	R.Front.Head_Z	L.Front.Head_X	L.Front.Head_Y	L.Front.Head_Z	R.Back.Head_X	R.Back.Head_Y	R.Back.Head_Z	L.Back.Head_X	L.Back.Head_Y	L.Back.Head_Z	R.Shoulder_X	R.Shoulder_Y	R.Shoulder_Z	L.Shoulder_X	L.Shoulder_Y	L.Shoulder_Z	C7_X	C7_Y	C7_Z	T2_X	T2_Y	T2_Z	T7_X	T7_Y	T7_Z	L1_X	L1_Y	L1_Z	L3_X	L3_Y	L3_Z	L5_X	L5_Y	L5_Z	IJ_X	IJ_Y	IJ_Z	PX_X	PX_Y	PX_Z	R.ASIS_X	R.ASIS_Y	R.ASIS_Z	L.ASIS_X	L.ASIS_Y	L.ASIS_Z	R.PSIS_X	R.PSIS_Y	R.PSIS_Z	L.PSIS_X	L.PSIS_Y	L.PSIS_Z	L.Iliac.Crest_X	L.Iliac.Crest_Y	L.Iliac.Crest_Z	R.Iliac.Crest_X	R.Iliac.Crest_Y	R.Iliac.Crest_Z	R.GTR_X	R.GTR_Y	R.GTR_Z	L.GTR_X	L.GTR_Y	L.GTR_Z	R.Knee_X	R.Knee_Y	R.Knee_Z	R.Knee.Medial_X	R.Knee.Medial_Y	R.Knee.Medial_Z	L.Knee_X	L.Knee_Y	L.Knee_Z	L.Knee.Medial_X	L.Knee.Medial_Y	L.Knee.Medial_Z	R.HF_X	R.HF_Y	R.HF_Z	L.HF_X	L.HF_Y	L.HF_Z	R.TT_X	R.TT_Y	R.TT_Z	L.TT_X	L.TT_Y	L.TT_Z	R.Ankle_X	R.Ankle_Y	R.Ankle_Z	R.Ankle.Medial_X	R.Ankle.Medial_Y	R.Ankle.Medial_Z	L.Ankle_X	L.Ankle_Y	L.Ankle_Z	L.Ankle.Medial_X	L.Ankle.Medial_Y	L.Ankle.Medial_Z	R.Heel_X	R.Heel_Y	R.Heel_Z	L.Heel_X	L.Heel_Y	L.Heel_Z	R.MT1_X	R.MT1_Y	R.MT1_Z	R.MT2_X	R.MT2_Y	R.MT2_Z	R.MT5_X	R.MT5_Y	R.MT5_Z	L.MT1_X	L.MT1_Y	L.MT1_Z	L.MT2_X	L.MT2_Y	L.MT2_Z	L.MT5_X	L.MT5_Y	L.MT5_Z
0.000000	-0.236720	1.646780	-1.160870	-0.226920	1.651640	-1.288080	-0.373970	1.646380	-1.157170	-0.361000	1.645860	-1.304700	-0.394550	1.438810	-1.036960	-0.358850	1.443170	-1.424290	-0.407560	1.506700	-1.234940	-0.436450	1.470340	-1.237590	-0.464850	1.290590	-1.237410	-0.408690	1.096150	-1.232570	-0.410270	1.049150	-1.233730	-0.413440	1.008640	-1.233080	-0.284030	1.415770	-1.223060	-0.234350	1.230450	-1.217830	-0.245940	0.985950	-1.097100	-0.233500	0.990700	-1.347140	-0.426300	0.991000	-1.198870	-0.419330	0.992340	-1.267000	-0.311910	1.048200	-1.391540	-0.340970	1.041180	-1.064070	-0.350470	0.896290	-1.060470	-0.311080	0.883440	-1.402250	-0.351170	0.497730	-1.042630	-0.351710	0.477790	-1.166460	-0.268550	0.480490	-1.378840	-0.290400	0.474850	-1.262360	-0.357890	0.438200	-1.039110	-0.289670	0.426520	-1.387440	-0.300770	0.416590	-1.083850	-0.240930	0.399960	-1.326880	-0.394310	0.064140	-1.038930	-0.370590	0.081170	-1.118550	-0.387350	0.073760	-1.414220	-0.370630	0.080800	-1.329580	-0.436440	0.044590	-1.089050	-0.438680	0.048510	-1.374960	-0.235470	0.038380	-1.100470	-0.239680	0.034820	-1.071200	-0.270760	0.027630	-1.021030	-0.238240	0.041460	-1.351730	-0.241610	0.036980	-1.381200	-0.271620	0.030270	-1.429070
0.010000	-0.236765	1.646783	-1.160892	-0.226992	1.651661	-1.288112	-0.374018	1.646365	-1.157174	-0.361078	1.645860	-1.304709	-0.394548	1.438814	-1.036973	-0.358864	1.443179	-1.424318	-0.407603	1.506693	-1.234956	-0.436495	1.470337	-1.237608	-0.464887	1.290586	-1.237433	-0.408732	1.096148	-1.232603	-0.410315	1.049144	-1.233759	-0.413474	1.008629	-1.233097	-0.284049	1.415783	-1.223092	-0.234370	1.230461	-1.217863	-0.245985	0.985961	-1.097103	-0.233526	0.990700	-1.347142	-0.426338	0.990997	-1.198889	-0.419360	0.992335	-1.267023	-0.311913	1.048198	-1.391554	-0.341023	1.041203	-1.064092	-0.350514	0.896294	-1.060481	-0.311111	0.883433	-1.402250	-0.351203	0.497739	-1.042643	-0.351720	0.477789	-1.166466	-0.268561	0.480488	-1.378840	-0.290409	0.474852	-1.262357	-0.357908	0.438206	-1.039116	-0.289678	0.426518	-1.387438	-0.300787	0.416600	-1.083855	-0.240940	0.399961	-1.326876	-0.394309	0.064140	-1.038928	-0.370588	0.081168	-1.118549	-0.387348	0.073758	-1.414221	-0.370630	0.080793	-1.329584	-0.436435	0.044587	-1.089059	-0.438684	0.048503	-1.374965	-0.235472	0.038380	-1.100471	-0.239679	0.034815	-1.071202	-0.270756	0.027626	-1.021030	-0.238240	0.041455	-1.351728	-0.241612	0.036976	-1.381200	-0.271613	0.030271	-1.429071
0.020000	-0.236810	1.646784	-1.160912	-0.227060	1.651680	-1.288138	-0.374067	1.646349	-1.157180	-0.361151	1.645860	-1.304718	-0.394549	1.438819	-1.036988	-0.358878	1.443188	-1.424346	-0.407646	1.506687	-1.234975	-0.436539	1.470334	-1.237628	-0.464926	1.290583	-1.237457	-0.408773	1.096146	-1.232633	-0.410359	1.049139	-1.233785	-0.413509	1.008619	-1.233111	-0.284068	1.415796	-1.223124	-0.234388	1.230472	-1.217895	-0.246028	0.985971	-1.097107	-0.233555	0.990701	-1.347145	-0.426376	0.990996	-1.198905	-0.419391	0.992331	-1.267043	-0.311919	1.048198	-1.391567	-0.341073	1.041229	-1.064111	-0.350555	0.896298	-1.060489	-0.311144	0.883428	-1.402250	-0.351244	0.497749	-1.042654	-0.351737	0.477790	-1.166470	-0.268574	0.480487	-1.378842	-0.290417	0.474854	-1.262356	-0.357931	0.438212	-1.039121	-0.289689	0.426517	-1.387438	-0.300808	0.416610	-1.083858	-0.240951	0.399962	-1.326873	-0.394308	0.064139	-1.038928	-0.370587	0.081166	-1.118547	-0.387347	0.073754	-1.414223	-0.370631	0.080788	-1.329589	-0.436431	0.044584	-1.089066	-0.438688	0.048496	-1.374972	-0.235474	0.038380	-1.100471	-0.239678	0.034811	-1.071204	-0.270753	0.027623	-1.021031	-0.238242	0.041452	-1.351728	-0.241614	0.036973	-1.381200	-0.271607	0.030272	-1.429072
0.030000	-0.236856	1.646785	-1.160927	-0.227121	1.651695	-1.288157	-0.374116	1.646334	-1.157190	-0.361215	1.645861	-1.304729	-0.394554	1.438823	-1.037006	-0.358894	1.443199	-1.424374	-0.407689	1.506682	-1.234996	-0.436584	1.470332	-1.237653	-0.464966	1.290580	-1.237484	-0.408816	1.096144	-1.232658	-0.410403	1.049136	-1.233805	-0.413544	1.008613	-1.233121	-0.284086	1.415810	-1.223153	-0.234404	1.230484	-1.217929	-0.246068	0.985981	-1.097114	-0.233587	0.990703	-1.347149	-0.426416	0.990996	-1.198915	-0.419424	0.992329	-1.267056	-0.311931	1.048200	-1.391580	-0.341120	1.041260	-1.064125	-0.350591	0.896303	-1.060490	-0.311179	0.883426	-1.402252	-0.351295	0.497759	-1.042663	-0.351766	0.477791	-1.166471	-0.268594	0.480488	-1.378848	-0.290426	0.474855	-1.262357	-0.357963	0.438217	-1.039123	-0.289703	0.426518	-1.387442	-0.300835	0.416619	-1.083858	-0.240963	0.399963	-1.326874	-0.394308	0.064137	-1.038928	-0.370588	0.081164	-1.118544	-0.387349	0.073750	-1.414227	-0.370635	0.080783	-1.329594	-0.436430	0.044581	-1.089070	-0.438693	0.048491	-1.374980	-0.235475	0.038380	-1.100469	-0.239678	0.034808	-1.071204	-0.270751	0.027621	-1.021032	-0.238247	0.041452	-1.351730	-0.241617	0.036971	-1.381200	-0.271604	0.030271	-1.429074
0.040000	-0.236902	1.646783	-1.160936	-0.227175	1.651706	-1.288167	-0.374167	1.646319	-1.157202	-0.361269	1.645863	-1.304742	-0.394564	1.438828	-1.037028	-0.358911	1.443212	-1.424402	-0.407732	1.506680	-1.235021	-0.436629	1.470329	-1.237681	-0.465009	1.290579	-1.237512	-0.408859	1.096142	-1.232677	-0.410447	1.049134	-1.233818	-0.413580	1.008610	-1.233126	-0.284102	1.415825	-1.223182	-0.234416	1.230497	-1.217963	-0.246105	0.985989	-1.097121	-0.233623	0.990705	-1.347155	-0.426458	0.990999	-1.198919	-0.419460	0.992329	-1.267063	-0.311951	1.048205	-1.391592	-0.341161	1.041294	-1.064134	-0.350622	0.896309	-1.060484	-0.311219	0.883426	-1.402255	-0.351353	0.497769	-1.042667	-0.351805	0.477794	-1.166469	-0.268620	0.480491	-1.378856	-0.290439	0.474857	-1.262362	-0.358002	0.438221	-1.039121	-0.289722	0.426523	-1.387449	-0.300868	0.416627	-1.083856	-0.240977	0.399966	-1.326879	-0.394309	0.064133	-1.038930	-0.370590	0.081163	-1.118540	-0.387352	0.073745	-1.414231	-0.370642	0.080779	-1.329599	-0.436432	0.044580	-1.089069	-0.438697	0.048487	-1.374989	-0.235476	0.038379	-1.100466	-0.239679	0.034809	-1.071204	-0.270752	0.027621	-1.021033	-0.238257	0.041455	-1.351735	-0.241620	0.036970	-1.381201	-0.271603	0.030269	-1.429076
0.050000	-0.236948	1.646782	-1.160941	-0.227219	1.651714	-1.288169	-0.374219	1.646307	-1.157219	-0.361312	1.645866	-1.304756	-0.394579	1.438834	-1.037053	-0.358931	1.443228	-1.424429	-0.407775	1.506679	-1.235049	-0.436674	1.470328	-1.237711	-0.465054	1.290581	-1.237540	-0.408903	1.096142	-1.232688	-0.410491	1.049133	-1.233824	-0.413617	1.008610	-1.233127	-0.284117	1.415840	-1.223208	-0.234427	1.230512	-1.217998	-0.246140	0.985996	-1.097130	-0.233665	0.990709	-1.347161	-0.426503	0.991002	-1.198918	-0.419499	0.992329	-1.267063	-0.311978	1.048211	-1.391601	-0.341199	1.041327	-1.064137	-0.350652	0.896316	-1.060475	-0.311260	0.883429	-1.402259	-0.351409	0.497777	-1.042666	-0.351852	0.477798	-1.166464	-0.268651	0.480496	-1.378866	-0.290456	0.474859	-1.262369	-0.358044	0.438225	-1.039115	-0.289746	0.426529	-1.387458	-0.300903	0.416634	-1.083850	-0.240995	0.399970	-1.326888	-0.394309	0.064128	-1.038932	-0.370593	0.081163	-1.118534	-0.387356	0.073739	-1.414236	-0.370650	0.080776	-1.329604	-0.436436	0.044579	-1.089064	-0.438702	0.048483	-1.374998	-0.235477	0.038379	-1.100462	-0.239681	0.034811	-1.071204	-0.270753	0.027622	-1.021033	-0.238268	0.041459	-1.351742	-0.241623	0.036969	-1.381201	-0.271605	0.030266	-1.429078
0.060000	-0.236994	1.646782	-1.160943	-0.227255	1.651721	-1.288167	-0.374272	1.646297	-1.157238	-0.361347	1.645870	-1.304773	-0.394594	1.438841	-1.037078	-0.358954	1.443247	-1.424454	-0.407816	1.506681	-1.235076	-0.436718	1.470329	-1.237740	-0.465100	1.290585	-1.237565	-0.408947	1.096143	-1.232692	-0.410536	1.049134	-1.233825	-0.413657	1.008612	-1.233124	-0.284130	1.415857	-1.223234	-0.234436	1.230529	-1.218034	-0.246178	0.986002	-1.097136	-0.233710	0.990713	-1.347166	-0.426550	0.991006	-1.198913	-0.419541	0.992330	-1.267060	-0.312011	1.048219	-1.391608	-0.341233	1.041354	-1.064138	-0.350683	0.896323	-1.060466	-0.311301	0.883432	-1.402262	-0.351456	0.497784	-1.042660	-0.351897	0.477803	-1.166456	-0.268685	0.480503	-1.378876	-0.290483	0.474863	-1.262377	-0.358081	0.438227	-1.039105	-0.289774	0.426535	-1.387470	-0.300935	0.416641	-1.083842	-0.241015	0.399975	-1.326898	-0.394308	0.064123	-1.038933	-0.370595	0.081164	-1.118529	-0.387361	0.073734	-1.414241	-0.370658	0.080774	-1.329610	-0.436439	0.044577	-1.089058	-0.438706	0.048480	-1.375006	-0.235479	0.038380	-1.100456	-0.239684	0.034814	-1.071204	-0.270754	0.027624	-1.021033	-0.238278	0.041464	-1.351748	-0.241626	0.036969	-1.381202	-0.271609	0.030263	-1.429080
0.070000	-0.237039	1.646783	-1.160943	-0.227283	1.651727	-1.288163	-0.374325	1.646291	-1.157258	-0.361375	1.645874	-1.304791	-0.394608	1.438848	-1.037102	-0.358980	1.443268	-1.424477	-0.407857	1.506685	-1.235103	-0.436761	1.470331	-1.237767	-0.465145	1.290591	-1.237586	-0.408991	1.096147	-1.232691	-0.410582	1.049137	-1.233823	-0.413697	1.008615	-1.233120	-0.284141	1.415874	-1.223260	-0.234444	1.230549	-1.218071	-0.246219	0.986007	-1.097140	-0.233758	0.990718	-1.347168	-0.426598	0.991008	-1.198909	-0.419585	0.992331	-1.267056	-0.312048	1.048227	-1.391611	-0.341267	1.041371	-1.064136	-0.350720	0.896329	-1.060460	-0.311341	0.883436	-1.402263	-0.351486	0.497788	-1.042651	-0.351935	0.477809	-1.166446	-0.268720	0.480512	-1.378885	-0.290518	0.474868	-1.262385	-0.358107	0.438229	-1.039092	-0.289805	0.426542	-1.387481	-0.300960	0.416647	-1.083833	-0.241039	0.399983	-1.326908	-0.394305	0.064118	-1.038934	-0.370596	0.081166	-1.118523	-0.387366	0.073730	-1.414245	-0.370666	0.080772	-1.329615	-0.436442	0.044574	-1.089051	-0.438711	0.048475	-1.375013	-0.235482	0.038382	-1.100451	-0.239688	0.034817	-1.071205	-0.270755	0.027626	-1.021033	-0.238284	0.041466	-1.351751	-0.241629	0.036970	-1.381202	-0.271612	0.030261	-1.429081
0.080000	-0.237081	1.646787	-1.160945	-0.227305	1.651734	-1.288163	-0.374373	1.646288	-1.157279	-0.361400	1.645878	-1.304810	-0.394619	1.438857	-1.037123	-0.359007	1.443290	-1.424499	-0.407894	1.506690	-1.235126	-0.436803	1.470336	-1.237789	-0.465189	1.290598	-1.237603	-0.409034	1.096151	-1.232687	-0.410628	1.049141	-1.233819	-0.413738	1.008618	-1.233116	-0.284150	1.415893	-1.223286	-0.234452	1.230571	-1.218109	-0.246265	0.986013	-1.097139	-0.233805	0.990723	-1.347166	-0.426647	0.991010	-1.198905	-0.419628	0.992330	-1.267051	-0.312086	1.048236	-1.391609	-0.341301	1.041379	-1.064134	-0.350763	0.896333	-1.060457	-0.311377	0.883439	-1.402261	-0.351499	0.497789	-1.042641	-0.351959	0.477814	-1.166437	-0.268752	0.480521	-1.378891	-0.290561	0.474874	-1.262391	-0.358122	0.438230	-1.039079	-0.289837	0.426548	-1.387491	-0.300976	0.416653	-1.083824	-0.241064	0.399990	-1.326917	-0.394301	0.064113	-1.038934	-0.370595	0.081168	-1.118520	-0.387370	0.073726	-1.414249	-0.370674	0.080770	-1.329619	-0.436444	0.044570	-1.089046	-0.438716	0.048469	-1.375018	-0.235485	0.038385	-1.100448	-0.239692	0.034820	-1.071207	-0.270755	0.027627	-1.021034	-0.238288	0.041466	-1.351752	-0.241631	0.036971	-1.381203	-0.271615	0.030261	-1.429081
0.090000	-0.237119	1.646792	-1.160950	-0.227324	1.651742	-1.288167	-0.374414	1.646287	-1.157299	-0.361421	1.645882	-1.304830	-0.394625	1.438866	-1.037143	-0.359036	1.443312	-1.424520	-0.407929	1.506695	-1.235146	-0.436842	1.470341	-1.237807	-0.465231	1.290606	-1.237614	-0.409076	1.096156	-1.232682	-0.410675	1.049145	-1.233814	-0.413779	1.008618	-1.233111	-0.284159	1.415913	-1.223314	-0.234457	1.230596	-1.218148	-0.246315	0.986021	-1.097133	-0.233850	0.990728	-1.347160	-0.426694	0.991010	-1.198902	-0.419670	0.992330	-1.267047	-0.312123	1.048245	-1.391603	-0.341336	1.041382	-1.064132	-0.350812	0.896337	-1.060460	-0.311409	0.883443	-1.402257	-0.351499	0.497790	-1.042633	-0.351968	0.477819	-1.166428	-0.268781	0.480530	-1.378895	-0.290606	0.474879	-1.262395	-0.358125	0.438230	-1.039067	-0.289866	0.426554	-1.387498	-0.300982	0.416658	-1.083817	-0.241089	0.399999	-1.326922	-0.394297	0.064111	-1.038934	-0.370592	0.081169	-1.118519	-0.387373	0.073722	-1.414253	-0.370680	0.080768	-1.329622	-0.436445	0.044564	-1.089042	-0.438722	0.048460	-1.375021	-0.235488	0.038389	-1.100446	-0.239697	0.034822	-1.071208	-0.270755	0.027629	-1.021035	-0.238289	0.041464	-1.351750	-0.241634	0.036972	-1.381203	-0.271617	0.030262	-1.429081
